Industry Name,Number of Firms,Dividends in $ millions,Buybacks in $ millions,Equity Issuance in $ millions,Net Equity Change  in $ millions,Net Equity Change as % of Book Equity,Debt Repaid  in $ millions,Debt Raised in $ millions,Net Debt Change in $ millions,Net Change in Debt as % of Total Debt,Change in Lease Debt  in $ millions,Number of firms_x,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales,Number of firms_y,Acc Rec/ Sales,Inventory/Sales,Acc Pay/ Sales,Non-cash WC/ Sales
Healthcare Products,230,7563.341,7194.111,3073.848,-4120.263,-0.018897749,16405.396,26151.89,9746.494,0.077599953,1492.998,230,0.56,0.08,0.16,0.13,0.13,0.13,0.13,0.14,0.13,0.21,0.53,0.29,0.44,0.09,0.32,0.02,0.01,230,0.165414212,0.188815593,0.07689535,0.25574202
Healthcare Support Services,119,14897.92,32806.433,3481.955,-29324.478,-0.091089048,131486.475,153721.768,22235.293,0.081293711,914.394,119,0.14,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.14,0.05,0.86,0.0,0.1,0.0,0.0,119,0.06737781,0.037801482,0.14768844,-0.065254137
Heathcare Information and Technology,128,1752.494,9780.639,1170.511,-8610.128,-0.050182785,15632.945,23915.714,8282.769,0.074220345,2205.914,128,0.48,0.06,0.17,0.14,0.14,0.14,0.14,0.14,0.14,0.24,0.49,0.3,0.52,0.07,0.25,0.03,0.01,128,0.190597877,0.103361523,0.069953912,0.229458753
Homebuilding,32,1349.61,4501.742,465.759,-4035.983,-0.044022757,24487.542,20767.149,-3720.393,-0.108644026,-97.796,32,0.25,0.12,0.17,0.16,0.13,0.16,0.14,0.16,0.14,0.18,0.27,0.18,0.75,0.0,0.09,0.0,0.0,32,0.016073563,0.598983836,0.044362006,0.585108097
Hospitals/Healthcare Facilities,32,908.4,5346.702,1241.949,-4104.753,-0.357874074,11171.747,12028.564,856.817,0.009749983,268.272,32,0.36,0.05,0.12,0.12,0.11,0.12,0.11,0.12,0.11,0.15,0.18,0.15,0.64,0.0,0.03,0.01,0.02,32,0.145620671,0.022199305,0.06561466,0.111734133
Hotel/Gaming,68,1647.753,28508.052,478.616,-28029.436,-0.514441261,43891.562,44724.87,833.308,0.003655623,9172.253,68,0.6,0.1,0.19,0.17,0.16,0.13,0.12,0.14,0.12,0.18,0.47,0.2,0.4,0.03,0.29,0.02,0.03,68,0.108457883,0.029407194,0.07833582,0.029915133
Household Products,93,29193.22,7564.115,6396.126,-1167.989,-0.013195333,31985.985,40958.775,8972.79,0.088971651,-1025.293,19,0.45,0.13,0.19,0.19,0.16,0.19,0.17,0.19,0.17,0.22,0.47,0.24,0.55,0.02,0.26,0.01,0.01,93,0.093176479,0.11901294,0.139531488,0.074964449
Information Services,18,760.9,1181.774,502.722,-679.052,-0.045662987,6194.554,6611.357,416.803,0.019568271,-677.535,18,0.33,0.03,0.13,0.12,0.1,0.12,0.1,0.12,0.1,0.17,0.34,0.19,0.67,0.02,0.17,0.01,0.02,18,0.182406153,0.001050571,0.032387678,0.157323363
Insurance (General),21,3084.824,4311.146,389.926,-3921.22,-0.056308018,9055.621,8907.056,-148.565,-0.002658501,-316.317,21,0.34,0.09,0.16,0.15,0.13,0.15,0.13,0.15,0.13,0.29,0.41,0.29,0.66,0.0,0.12,0.01,0.01,21,0.250085446,1.13187e-07,0.755488669,-9.32563e-05
Insurance (Life),23,5932.29,9530.786,428.103,-9102.683,-0.077446244,16309.155,7077.4,-9231.755,-0.048218439,-513.0,23,0.2,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.09,0.8,0.0,0.11,0.01,0.0,23,0.19635347,0.0,0.139821109,0.286158812
